name,time,price,location
Čudovita Taja &amp; Medi (pomagamo pri oddaji),24.10.2020.,Cena po dogovoru ,"Kranj, Kranj"
Simpatična Lubica &amp; Miki,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Kranj, Kranj"
Mucka Žuža,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Kočevje, Mahovnik"
Muc Gušti,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Kočevje, Mahovnik"
Maine Coon,24.10.2020.,"
                                300&nbsp;<span class=""currency"">€</span>                            ",Unknown
Urška,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Poka,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Peanut,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Hazel,24.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Podarim muco,23.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Jakobski Dol, Jakobski Dol"
Mucek,23.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Grosuplje, Grosuplje"
Prodam čistokrvne britanke,23.10.2020.,"
                                400&nbsp;<span class=""currency"">€</span>                            ","Trnovska vas, Trnovski Vrh"
Ulica Heroja Jevtiča,23.10.2020.,"
                                400&nbsp;<span class=""currency"">€</span>                            ","Maribor, Nova Vas"
Perzijska mačka - Perzijka Exot,23.10.2020.,"
                                500&nbsp;<span class=""currency"">€</span>                            ","Ljubljana Center, Center"
Siamski mucek,23.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Gorišnica, Gorišnica"
tritaček Špaga,23.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Jackie,23.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Celje, Celje"
Perzijske muce,22.10.2020.,"
                                600&nbsp;<span class=""currency"">€</span>                            ","Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah"
Podarim mucke,22.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Gorenja vas - Poljane, Lom nad Volčo"
"Bengalska mačka, bengalski mucek (z rodovnikom)",21.10.2020.,"
                                800&nbsp;<span class=""currency"">€</span>                            ",Unknown
Malo igrivo belo muco pasme Kao manee prodamo,21.10.2020.,"
                                60&nbsp;<span class=""currency"">€</span>                            ","Maribor, Tezno"
Kupim mucko Ragdoll,21.10.2020.,"
                                200&nbsp;<span class=""currency"">€</span>                            ","Ljubljana, Stanežiče"
"PODARIMO MUCKA, SAMČKA, MEŠANČKA",21.10.2020.,"
                                0&nbsp;<span class=""currency"">€</span>                            ","Kamnik, Šmarca"
MUCE SAMČKE in SAMIČKE PASME BRITANEC,21.10.2020.,Cena po dogovoru ,"Kamnik, Kamnik"
ovratnica za mačke,21.10.2020.,"
                                5&nbsp;<span class=""currency"">€</span>                            ","Lukovica, Lukovica"
